si_do,gu_gun,name,address,content01,latitude,longitude,phone,homepage
¼­¿ï,¿ë»ê±¸,N¼­¿ïÅ¸¿ö,¼­¿ïÆ¯º°½Ã ¿ë»ê±¸ ³²»ê°ø¿ø±æ 105 N¼­¿ïÅ¸¿ö,,37.551286,126.9882895,02-3455-9277,http://www.nseoultower.com/
¼­¿ï,Á¾·Î±¸,°æº¹±Ã,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ »çÁ÷·Î 161 °æº¹±Ã,,37.5788963,126.9770479,02-3700-3900,http://www.royalpalace.go.kr/
¼­¿ï,Á¾·Î±¸,°æÈñ±Ã,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ½Å¹®·Î2°¡ 1,,37.5708304,126.968566,02-724-0274,
¼­¿ï,Á¾·Î±¸,±¤Àå½ÃÀå,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Ã¢°æ±Ã·Î 88,,37.5701334,126.9996494,02-2267-0291,http://kwangjangmarket.co.kr/
¼­¿ï,Á¾·Î±¸,ºÏÃÌ ÇÑ¿Á¸¶À»,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ °èµ¿±æ 37,,37.5814166,126.9851086,02-2133-1372,http://bukchon.seoul.go.kr/
¼­¿ï,Á¾·Î±¸,ÀÎ»çµ¿±æÀüÅë¹®È­ÀÇ°Å¸®,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÀÎ»çµ¿,,37.573965,126.9851077,,
¼­¿ï,Á¾·Î±¸,Á¾¹¦,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ÈÆÁ¤µ¿ 1,,37.575861,126.9939803,02-765-0195,http://jm.cha.go.kr/n_jm/index.html
¼­¿ï,Á¾·Î±¸,Ã¢°æ±Ã,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Ã¢°æ±Ã·Î 185 Ã¢°æ±Ã,,37.5795568,126.9941684,02-762-4868,http://cgg.cha.go.kr/n_cgg/index.html
¼­¿ï,Á¾·Î±¸,Ã¢´ö±Ã,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ À²°î·Î 99,,37.5826647,126.9919641,02-762-8261,http://www.cdg.go.kr/
¼­¿ï,Áß±¸,³²´ë¹®½ÃÀå,¼­¿ïÆ¯º°½Ã Áß±¸ ³²´ë¹®½ÃÀå4±æ 21,,37.5594484,126.977687,02-753-2805,http://namdaemunmarket.co.kr/
¼­¿ï,Áß±¸,µ¿´ë¹®µðÀÚÀÎÇÃ¶óÀÚ,¼­¿ïÆ¯º°½Ã Áß±¸ À»Áö·Î 281,,37.5672187,127.0098308,02-2153-0000,
¼­¿ï,Áß±¸,¸íµ¿°Å¸®,¼­¿ïÆ¯º°½Ã Áß±¸ ¸íµ¿2°¡,,37.5630049,126.9847015,,
¿ï»ê,³²±¸,Àå»ýÆ÷ °í·¡¹®È­Æ¯±¸,¿ï»ê±¤¿ª½Ã ³²±¸ Àå»ýÆ÷°í·¡·Î 210,,35.5027034,129.3783627,052-226-5672,http://www.whalecity.kr/
¿ï»ê,¿ïÁÖ±º,¹Ý±¸´ë¾Ï°¢È­,¿ï»ê±¤¿ª½Ã ¿ïÁÖ±º ¾ð¾çÀ¾ ´ë°î¸® »ê234-1,,35.6037587,129.1779245,052-229-6678,http://bangudae.ulsan.go.kr/
ÀÎÃµ,³²µ¿±¸,¼Ò·¡Æ÷±¸,ÀÎÃµ±¤¿ª½Ã ³²µ¿±¸ ³íÇöµ¿ 111,,37.3985379,126.7402347,070-7529-8089,http://www.soraepogu.com/
Àü³²,°î¼º±º,¼¶Áø°­±âÂ÷¸¶À»,Àü¶ó³²µµ °î¼º±º ¿À°î¸é ±âÂ÷¸¶À»·Î 232,,35.2775754,127.3082808,061-363-9900,http://www.gstrain.co.kr/
Àü³²,´ã¾ç±º,Á×³ì¿ø,Àü¶ó³²µµ ´ã¾ç±º ´ã¾çÀ¾ Á×³ì¿ø·Î 119,,35.328028,126.9858999,061-380-2680,http://juknokwon.go.kr/
Àü³²,º¸¼º±º,º¸¼º³ìÂ÷¹ç,Àü¶ó³²µµ º¸¼º±º º¸¼ºÀ¾ ³ìÂ÷·Î 763-43,,34.7165412,127.0788942,061-852-4540,http://dhdawon.com/
Àü³²,¼øÃµ½Ã,³«¾ÈÀ¾¼º¹Î¼Ó¸¶À»,Àü¶ó³²µµ ¼øÃµ½Ã ³«¾È¸é Ãæ¹Î±æ 30 °ü»ç,,34.9068805,127.339345,061-749-8831,http://nagan.suncheon.go.kr/nagan/
Àü³²,¼øÃµ½Ã,¼øÃµ¸¸ÀÚ¿¬»ýÅÂ°ø¿ø,Àü¶ó³²µµ ¼øÃµ½Ã ¼øÃµ¸¸±æ 513-25 ¼øÃµ¸¸Ãµ¹®´ë,,34.8858563,127.5086671,061-749-6052,http://www.suncheonbay.go.kr/
Àü³²,½Å¾È±º,Áõµµ,Àü¶ó³²µµ ½Å¾È±º Áõµµ¸é,,34.9914243,126.1561887,061-271-7619,http://www.jeung-do.com/
Àü³²,¿©¼ö½Ã,¿Àµ¿µµ µ¿¹é²É,Àü¶ó³²µµ ¿©¼ö½Ã ¼öÁ¤µ¿ »ê1-11,,34.7447,127.7667461,061-690-7303,http://www.odongdo.go.kr/
Àü³²,¿©¼ö½Ã,ÇâÀÏ¾Ï,Àü¶ó³²µµ ¿©¼ö½Ã µ¹»êÀ¾ ÇâÀÏ¾Ï·Î 60,,34.5914162,127.8037534,061-644-4742,http://www.hyangiram.org/
Àü³²,ÇØ³²±º,ÇØ³² ¶¥³¡¸¶À»,Àü³² ÇØ³²±º ¼ÛÁö¸é ¶¥³¡¸¶À» ÀÏ¿ø,,34.2985206,126.5274381,061-530-5229,http://korean.visitkorea.or.kr/kor/inut/where/festival/festival.jsp?cid=141371
ÀüºÏ,°íÃ¢±º,¼±¿î»ê,Àü¶óºÏµµ °íÃ¢±º ¾Æ»ê¸é,,35.4988426,126.568943,063-563-3450,
ÀüºÏ,±º»ê½Ã,½Ã°£¿©Çà,Àü¶óºÏµµ ±º»ê½Ã ±¸¿µ5±æ 101,,35.9885945,126.710065,070-8281-1699,http://www.timetour169.com/
ÀüºÏ,¹«ÁÖ±º,´öÀ¯»ê,Àü¶óºÏµµ ¹«ÁÖ±º ¼³Ãµ¸é ±¸Ãµµ¿1·Î 159 ´öÀ¯»ê±¹¸³°ø¿ø°ü¸®»ç¹«¼Ò,,35.8598426,127.7463041,063-322-3174,http://deogyu.knps.or.kr/
ÀüºÏ,ºÎ¾È±º,º¯»ê¹Ýµµ,Àü¶óºÏµµ ºÎ¾È±º º¯»ê¸é ´ëÇ×¸®,,35.6466941,126.6116512,063-582-7808,
ÀüºÏ,¼øÃ¢±º,°­Ãµ»ê,Àü¶óºÏµµ ¼øÃ¢±º ÆÈ´ö¸é,,35.4048135,127.0489156,063-650-1672,
ÀüºÏ,ÀÓ½Ç±º,ÀÓ½ÇÄ¡Áî¸¶À»,Àü¶óºÏµµ ÀÓ½Ç±º ÀÓ½ÇÀ¾ Ä¡Áî¸¶À»1±æ 4 Ä¡Áî¸¶À»,,35.6362994,127.2946876,063-643-3700,http://cheese.invil.org/index.html
ÀüºÏ,ÀüÁÖ½Ã,ÀüÁÖ ÇÑ¿Á¸¶À»,Àü¶óºÏµµ ÀüÁÖ½Ã ¿Ï»ê±¸ ±³µ¿,,35.8144258,127.1526831,063-282-1330,http://tour.jeonju.go.kr/index.sko?menuCd=AA06000000000
ÀüºÏ,Á¤À¾½Ã,³»Àå»ê,Àü¶óºÏµµ Á¤À¾½Ã ³»Àå»ê·Î 936 ³»Àå»ê»ç¹«¼Ò,,35.4783883,126.8889987,063-538-7875,http://naejang.knps.or.kr/
Á¦ÁÖ,¼­±ÍÆ÷½Ã,±è¿µ°©°¶·¯¸® µÎ¸ð¾Ç,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ¼º»êÀ¾ »ï´Þ·Î 137,,33.3720958,126.8541363,064-784-9907,http://www.dumoak.co.kr/
Á¦ÁÖ,¼­±ÍÆ÷½Ã,¼·ÁöÄÚÁö,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ¼º»êÀ¾ °í¼º¸®,,33.4238023,126.9307364,064-782-2810,
Á¦ÁÖ,¼­±ÍÆ÷½Ã,¼º»êÀÏÃâºÀ,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã ¼º»êÀ¾ ¼º»ê¸® 114,,33.4588828,126.9408234,064-783-0959,
Á¦ÁÖ,¼­±ÍÆ÷½Ã,¼è¼Ò±ï,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã È¿µ··Î 170,,33.2525008,126.6243437,064-732-1562,
Á¦ÁÖ,¼­±ÍÆ÷½Ã,Á¦ÁÖ¿Ã·¹,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Ä¥½Ê¸®·Î214¹ø±æ 17-17 Á¦ÁÖ¿Ã·¹,,33.2452241,126.5769663,064-762-2190,http://www.jejuolle.org/
Á¦ÁÖ,¼­±ÍÆ÷½Ã,Áß¹®°ü±¤´ÜÁö,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß¹®µ¿,,33.247828,126.4106493,064-739-1330,
Á¦ÁÖ,Á¦ÁÖ½Ã,ºñÀÚ¸²,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ Á¦ÁÖ½Ã ±¸ÁÂÀ¾ ºñÀÚ½£±æ 62 ºñÀÚ¸²,,33.4843787,126.8066204,064-710-7912,http://www.jejutour.go.kr/contents/?act=view&mid=TU&seq=242
Á¦ÁÖ,Á¦ÁÖ½Ã,»ç·Á´Ï½£±æ,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ Á¦ÁÖ½Ã Á¶ÃµÀ¾,,33.4227508,126.6266779,064-900-8800,
Á¦ÁÖ,Á¦ÁÖ½Ã,»ê±ÀºÎ¸®,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ Á¦ÁÖ½Ã Á¶ÃµÀ¾ ±³·¡¸® »ê38,,33.4296081,126.6948719,064-783-9900,http://www.sangumburi.net/
Á¦ÁÖ,Á¦ÁÖ½Ã,¿ìµµ,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ Á¦ÁÖ½Ã ¿ìµµ¸é,,33.505339,126.9585262,064-782-5671,
Á¦ÁÖ,Á¦ÁÖ½Ã,ÇÑ¶ó»ê,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ Á¦ÁÖ½Ã ÇØ¾Èµ¿ »ê220-1,,33.3591604,126.5343004,064-713-9950,http://www.hallasan.go.kr/
Ãæ³²,°øÁÖ½Ã,¹«·É¿Õ¸ª,ÃæÃ»³²µµ °øÁÖ½Ã ±Ý¼ºµ¿,,36.462009,127.1136045,,
Ãæ³²,ºÎ¿©±º,ºÎ¼Ò»ê¼º,ÃæÃ»³²µµ ºÎ¿©±º ºÎ¿©À¾ °üºÏ¸®,,36.2874395,126.9152258,,
Ãæ³²,¼­»ê½Ã,ÇØ¹ÌÀ¾¼º,ÃæÃ»³²µµ ¼­»ê½Ã ÇØ¹Ì¸é µ¿¹®1±æ 36-1,,36.7128841,126.5485392,041-660-2540,
Ãæ³²,¼­Ãµ±º,±¹¸³»ýÅÂ¿ø,ÃæÃ»³²µµ ¼­Ãµ±º ¸¶¼­¸é ¼Û³»¸® 84-1,,36.027009,126.7196359,041-950-5300,http://www.nie.re.kr/
Ãæ³²,ÅÂ¾È±º,¾È¸éµµ,ÃæÃ»³²µµ ÅÂ¾È±º ¾È¸éÀ¾,,36.467866,126.3672955,041-673-3081,
ÃæºÏ,±«»ê±º,»ê¸·ÀÌ¿¾±æ,ÃæÃ»ºÏµµ ±«»ê±º Ä¥¼º¸é »çÀº¸® 546-1,,36.7677261,127.8406025,043-832-3527,http://sanmaki.goesan.go.kr/
ÃæºÏ,´Ü¾ç±º,´Ü¾çÆÈ°æ,ÃæÃ»ºÏµµ ´Ü¾ç±º ´Ü¾çÀ¾ °í¼ö¸®,,36.9867682,128.3761825,,
ÃæºÏ,´Ü¾ç±º,¼Ò¹é»ê,ÃæÃ»ºÏµµ ´Ü¾ç±º °¡°î¸é,,36.9576181,128.4845351,054-638-6196,http://sobaek.knps.or.kr/
ÃæºÏ,º¸Àº±º,¹ýÁÖ»ç,ÃæÃ»ºÏµµ º¸Àº±º ¼Ó¸®»ê¸é ¹ýÁÖ»ç·Î 405 ÀüÅëÂþÁý,,36.542457,127.833389,043-543-3615,http://beopjusa.org/
,,,,,,,,
,,,,,,,,
